,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
83,mayumba,100,GA,1603221428,87,-3.43,10.66,77.56,7.2
84,ukiah,1,US,1603221478,37,39.15,-123.21,82.99,3.91
85,dakoro,0,NE,1603221478,12,14.51,6.76,91.99,4.43
86,ternate,21,ID,1603221235,74,0.8,127.4,80.89,4.59
87,yellowknife,75,CA,1603221301,73,62.46,-114.35,28.0,3.36
88,huarmey,7,PE,1603221478,65,-10.07,-78.15,69.67,9.06
89,saravan,40,AM,1603221478,39,39.72,45.65,62.6,4.7
90,rongcheng,100,CN,1603221478,90,30.63,117.85,59.41,3.15
91,pimentel,34,PE,1603221434,60,-6.84,-79.93,73.4,16.11
92,havelock,75,US,1603221219,74,34.88,-76.9,81.0,8.05
93,esperance,90,AU,1603221479,100,-33.87,121.9,57.2,10.29
94,chokurdakh,91,RU,1603221414,97,70.63,147.92,13.87,2.24
95,barrow,90,US,1603221302,79,71.29,-156.79,28.4,11.41
96,lazaro cardenas,79,DO,1603221479,57,19.46,-71.33,91.0,1.99
97,matamoros,5,MX,1603221479,18,25.53,-103.25,87.8,3.24
98,kavaratti,100,IN,1603221479,75,10.57,72.64,81.41,9.84
99,kijang,75,KR,1603221479,76,35.24,129.21,55.4,1.12
100,saskylakh,98,RU,1603221479,97,71.92,114.08,20.7,7.27
101,lorengau,100,PG,1603221446,69,-2.02,147.27,81.12,2.3
102,constitucion,0,CL,1603221480,55,-35.33,-72.42,62.47,19.37
103,lampang,97,TH,1603221480,65,18.33,99.5,73.99,1.7
104,aketi,100,CD,1603221480,87,2.74,23.78,73.76,2.08
105,kahului,20,US,1603221480,58,20.89,-156.47,84.2,6.93
106,santa rosa,100,PH,1603221207,83,17.49,120.43,79.41,12.44
107,yumaguzino,63,RU,1603221480,73,52.9,56.39,39.52,2.66
108,baghdad,0,IQ,1603221480,30,33.34,44.4,71.6,8.05
109,lebu,0,CL,1603221480,63,-37.62,-73.65,53.8,19.82
110,lagoa,13,PT,1603221480,68,39.05,-27.98,63.61,27.69
111,nanortalik,100,GL,1603221480,86,60.14,-45.24,37.69,4.76
112,victoria,82,HK,1603221222,68,22.29,114.16,73.99,1.99
113,broome,90,US,1603221480,93,42.25,-75.83,57.99,8.05
114,queanbeyan,90,AU,1603221481,87,-35.35,149.23,55.4,6.93
115,ulladulla,12,AU,1603221481,100,-35.35,150.47,51.8,4.23
116,leningradskiy,100,RU,1603221481,88,69.38,178.42,33.26,11.34
117,komsomolskiy,0,UZ,1603221481,50,40.43,71.72,57.2,6.93
118,maceio,40,BR,1603221481,65,-9.67,-35.74,82.4,11.41
119,khatanga,83,RU,1603221372,95,71.97,102.5,6.96,8.01
120,busselton,0,AU,1603221481,65,-33.65,115.33,55.99,8.01
121,jardim,13,BR,1603221481,41,-21.48,-56.14,92.7,7.45
122,puerto ayora,75,ES,1603221399,88,36.59,-6.23,68.0,19.46
123,arraial do cabo,40,BR,1603221481,78,-22.84,-46.65,73.4,8.05
124,batagay-alyta,73,RU,1603221482,89,67.8,130.41,9.3,1.63
125,east london,75,IS,1603221482,91,65.0,-15.0,32.0,9.17
126,banda aceh,72,IN,1603221482,20,25.48,80.33,78.62,2.86
127,troitskoye,48,RU,1603221482,69,52.98,84.68,39.43,6.55
128,petropavlovsk-kamchatskiy,0,RU,1603221482,85,53.05,158.65,24.8,6.71
129,mahebourg,20,MU,1603221482,73,-20.41,57.7,75.2,10.29
130,baruun-urt,100,MN,1603221452,88,46.68,113.28,24.49,16.31
131,touros,40,BR,1603221383,58,-5.2,-35.46,86.0,14.99
132,campoverde,75,PE,1603221482,78,-8.48,-74.81,80.6,6.93
133,bairiki,20,KI,1603221482,78,1.33,172.98,80.6,9.17
134,cockburn town,31,AU,1603221482,39,-32.08,141.0,62.6,6.29
135,hualmay,9,PE,1603221483,65,-11.1,-77.61,68.92,8.05
136,byron bay,90,US,1603221483,97,44.03,-92.65,32.0,8.05
137,port alfred,100,CD,1603221483,61,-7.03,29.76,78.4,7.54
138,conde,40,BR,1603221483,58,-7.26,-34.91,84.2,13.87
139,koumac,0,NC,1603221483,77,-20.57,164.28,71.1,3.13
140,pilar do sul,40,BR,1603221483,65,-9.6,-35.96,82.4,11.41
141,lafia,0,NG,1603221483,71,8.48,8.52,80.01,2.44
142,longyearbyen,2,SJ,1603221365,73,78.22,15.64,23.0,4.7
143,coihaique,20,CL,1603221483,43,-45.58,-72.07,55.4,10.29
144,chemal,2,RU,1603221484,76,51.41,86.0,36.77,5.19
145,iskateley,98,RU,1603221484,99,67.68,53.15,27.81,6.67
146,lasa,40,IT,1603221456,93,46.62,10.7,50.0,8.05
147,tommot,100,RU,1603221484,97,58.96,126.29,25.57,4.29
148,jawhar,0,SO,1603221484,79,2.78,45.5,78.4,12.17
149,atoyac,40,MX,1603221484,47,20.02,-103.53,78.8,6.93
150,ushtobe,0,KZ,1603221484,47,45.25,77.98,47.12,4.45
151,batagay,98,RU,1603221484,94,67.63,134.63,9.01,3.71
152,samarai,100,PG,1603221432,86,-10.62,150.67,78.69,8.81
153,kautokeino,100,NO,1603221484,96,69.01,23.04,29.41,1.34
154,fortuna,1,US,1603221444,67,40.6,-124.16,62.6,8.05
155,meulaboh,43,ID,1603221484,84,4.14,96.13,77.52,3.83
156,tuatapere,29,NZ,1603221484,91,-46.13,167.68,44.01,4.0
157,port blair,100,CD,1603221484,61,-7.03,29.76,78.4,7.54
158,samoylovka,71,RU,1603221485,67,51.18,43.71,40.77,10.0
159,nome,20,US,1603221485,86,64.5,-165.41,33.8,5.48
160,miri,20,MY,1603221482,94,4.41,114.01,77.0,3.36
161,illapel,0,CL,1603221485,30,-31.63,-71.17,76.23,8.99
162,priyutnoye,1,RU,1603221485,61,46.1,43.51,51.03,7.78
163,castro,16,BR,1603221373,48,-24.79,-50.01,79.97,1.7
164,gunnedah,40,AU,1603221313,87,-30.98,150.25,53.6,9.17
165,lata,100,PT,1603221485,96,40.16,-8.33,61.0,1.99
166,agadir,100,MA,1603221444,57,30.42,-9.6,77.0,5.84
167,goderich,100,CA,1603221301,72,43.75,-81.72,52.0,4.32
168,ossora,100,RU,1603221485,87,59.24,163.07,35.38,7.83
169,cuamba,49,MZ,1603221485,34,-14.8,36.54,80.29,1.61
170,yarmouth,98,US,1603221222,96,41.71,-70.23,61.0,8.72
171,cuenca,90,EC,1603221485,52,-2.88,-78.98,68.0,11.41
172,nouadhibou,5,MR,1603221486,54,20.93,-17.03,80.6,14.99
173,iwanai,0,JP,1603221486,71,42.97,140.51,43.27,4.0
174,dwarka,0,IN,1603221486,77,22.24,68.97,84.27,10.58
175,grindavik,75,IS,1603221486,74,63.84,-22.43,37.4,1.12
176,bull savanna,75,LR,1603221486,83,6.2,-10.28,80.6,4.54
177,cangucu,100,BR,1603221486,89,-31.39,-52.68,66.99,5.99
178,buin,0,CL,1603221486,22,-33.73,-70.75,81.0,8.05
179,ribeira grande,75,ES,1603221486,93,42.75,-8.44,60.01,4.7
180,kruisfontein,0,ZA,1603221486,83,-34.0,24.73,55.99,6.31
181,aykhal,90,RU,1603221425,92,66.0,111.5,8.6,4.47
182,sapouy,59,BF,1603221487,42,11.55,-1.77,84.6,4.79
183,gat,0,IL,1603221240,100,31.61,34.76,79.0,5.28
184,hithadhoo,99,MV,1603221487,78,-0.6,73.08,82.85,13.06
185,ananas,75,HT,1603221487,66,19.25,-71.96,84.2,12.75
186,zeya,100,RU,1603221487,88,53.75,127.27,35.58,6.78
187,lompoc,90,US,1603221327,82,34.64,-120.46,60.8,4.7
188,isla vista,100,PH,1603221487,93,15.89,120.3,76.55,8.52
189,ahipara,100,NZ,1603221376,77,-35.17,173.17,58.91,4.68
190,vao,0,NC,1603221487,82,-22.67,167.48,72.68,17.38
191,georgetown,20,MY,1603221487,94,5.41,100.34,80.6,3.36
192,monrovia,75,LR,1603221488,83,6.3,-10.8,80.6,6.24
193,cesis,100,LV,1603221488,96,57.31,25.27,39.0,5.21
194,khandbari,7,NP,1603221488,65,27.37,87.2,65.66,1.79
195,manokwari,100,ID,1603221488,73,-0.87,134.08,78.73,4.14
196,tenenkou,0,ML,1603221488,17,14.46,-4.92,91.92,6.55
197,inirida,100,CO,1603221488,53,3.87,-67.92,91.69,2.04
198,hovd,40,MN,1603221461,82,48.01,91.64,29.08,1.48
199,khash,0,IR,1603221488,44,28.22,61.22,46.74,3.36
200,ailigandi,60,PA,1603221488,73,9.23,-78.02,83.14,10.36
201,tiebissou,40,CI,1603221488,70,7.16,-5.23,84.2,4.7
202,camocim,98,BR,1603221488,58,-2.9,-40.84,86.25,22.91
203,sao francisco do conde,5,IN,1603221488,82,20.51,76.21,74.55,3.27
204,eenhana,24,NA,1603221489,7,-17.47,16.33,93.2,3.36
205,guerrero negro,99,MX,1603221489,63,17.67,-100.0,78.96,3.4
206,russell,20,US,1603221301,48,32.35,-85.2,84.2,5.82
207,buala,96,SB,1603221452,76,-8.14,159.59,80.76,5.19
208,almeirim,92,BR,1603221489,39,-1.52,-52.58,94.46,7.85
209,arzachena,0,IT,1603221489,67,41.08,9.39,62.6,4.7
210,pahrump,0,US,1603221489,14,36.21,-115.98,82.99,1.99
211,rorvik,44,NO,1603221362,69,64.86,11.24,35.6,9.17
212,salalah,22,OM,1603221221,54,17.02,54.09,82.4,5.82
213,pangnirtung,90,CA,1603221489,68,66.15,-65.71,30.2,8.05
214,mizdah,0,LY,1603221489,39,31.45,12.98,62.15,7.43
215,severo-kurilsk,77,RU,1603221489,71,50.68,156.12,40.42,25.59
216,chazuta,40,PE,1603221490,74,-6.57,-76.14,84.2,8.05
217,san cristobal,0,ML,1603221490,24,13.3,-4.9,89.28,3.04
218,darhan,0,MN,1603221490,81,49.49,105.92,25.74,4.25
219,kariba,0,ZW,1603221490,28,-16.52,28.8,81.93,5.37
220,abnub,0,EG,1603221490,39,27.27,31.15,84.2,11.41
221,saint-augustin,100,CA,1603221241,83,51.23,-58.65,46.31,6.46
222,balikpapan,100,ID,1603221490,85,-1.27,116.83,77.58,7.65
223,fukue,22,JP,1603221490,61,32.69,128.84,70.05,8.68
224,tiksi,100,RU,1603221397,93,71.69,128.87,10.74,13.4
225,huilong,100,CN,1603221490,87,31.81,121.66,66.0,3.47
226,turukhansk,97,RU,1603221490,94,65.82,87.98,15.75,7.18
227,luganville,75,VU,1603221490,100,-15.53,167.17,73.4,6.67
228,benghazi,0,LY,1603221491,69,32.12,20.07,70.47,15.17
229,kloulklubed,90,PW,1603221491,94,7.04,134.26,77.0,8.05
230,caravelas,100,BR,1603221491,79,-17.71,-39.25,77.5,8.16
231,dudinka,75,RU,1603221245,84,69.41,86.18,6.8,4.47
232,richards bay,90,US,1603221491,98,46.84,-95.91,32.0,20.8
233,thompson,90,CA,1603221491,63,55.74,-97.86,30.2,3.36
234,sorland,75,NO,1603221491,68,67.67,12.69,41.0,10.29
235,gazojak,0,TM,1603221491,28,41.19,61.4,58.1,6.82
236,imbituba,20,BR,1603221486,69,-28.24,-48.67,80.6,9.17
237,tsaratanana,0,MG,1603221491,57,-16.78,47.65,74.77,10.8
238,bolshevik,100,BY,1603221492,86,54.01,27.57,39.2,6.71
239,vila velha,100,PT,1603221492,94,42.03,-8.16,55.0,5.19
240,cap malheureux,90,FR,1603221492,87,49.27,-1.21,60.01,8.05
241,kisangani,99,CD,1603221492,94,0.52,25.2,73.4,6.93
242,nadym,100,RU,1603221360,98,65.53,72.52,24.76,6.67
243,talakan,100,RU,1603221492,77,50.32,130.37,39.79,8.79
244,san andres,0,ML,1603221302,24,13.3,-4.9,89.28,3.04
245,bahia blanca,65,BR,1603221492,36,-12.0,-42.0,86.76,10.4
246,altay,0,CN,1603221492,69,47.87,88.12,36.64,4.45
247,tautira,20,PF,1603221492,66,-17.73,-149.15,84.2,17.22
248,krasnoselkup,99,RU,1603221383,98,65.7,82.47,23.34,8.99
249,ilulissat,75,GL,1603221492,65,69.22,-51.1,41.0,9.17
250,deputatskiy,100,RU,1603221492,97,69.3,139.9,9.43,2.64
251,makakilo city,75,US,1603221493,88,21.35,-158.09,82.4,6.93
252,haldibari,59,IN,1603221493,77,26.33,88.77,76.87,4.83
253,zhanaozen,93,KZ,1603221493,75,43.3,52.8,48.76,12.75
254,nicoya,75,CR,1603221493,70,10.15,-85.45,87.8,8.05
255,chenzhou,100,CN,1603221493,89,25.8,113.03,55.98,6.53
256,rock sound,90,US,1603221494,66,42.67,-89.07,48.2,13.87
257,del rio,40,IR,1603221494,39,38.79,45.07,62.6,4.7
258,jizan,0,SA,1603221494,66,17.33,42.67,86.0,5.82
259,namibe,90,AO,1603221494,80,-15.2,12.15,69.53,4.09
260,san luis de la paz,0,ML,1603221495,24,13.3,-4.9,89.28,3.04
261,fountain,1,US,1603221321,11,38.68,-104.7,71.6,14.99
262,grand centre,1,US,1603221495,13,38.88,-109.5,78.01,11.41
263,shache,0,CN,1603221495,66,38.42,77.24,40.96,0.96
264,sile,73,TR,1603221495,77,41.18,29.61,63.0,8.01
265,turbat,0,PK,1603221496,18,26.0,63.04,71.44,4.79
266,yumen,0,CN,1603221496,45,40.28,97.2,45.59,8.84
267,qaanaaq,0,GL,1603221496,84,77.48,-69.36,21.38,6.96
268,faanui,15,PF,1603221496,83,-16.48,-151.75,78.6,16.13
269,cabo san lucas,75,BR,1603221496,65,-8.28,-35.03,82.4,12.75
270,williams lake,75,CA,1603221496,60,52.14,-122.14,32.0,2.24
271,souillac,20,MU,1603221496,73,-20.52,57.52,75.2,10.29
272,new norfolk,75,LR,1603221442,83,6.65,-10.59,80.6,4.32
273,mayo,1,US,1603221496,93,38.89,-76.51,73.0,10.29
274,tartus,0,SY,1603221497,68,34.89,35.89,68.0,4.7
275,zholymbet,0,KZ,1603221497,53,51.74,71.71,47.07,9.57
276,hamilton,90,US,1603221325,100,39.18,-84.53,53.6,5.82
277,vostok,0,RU,1603221454,90,46.49,135.88,32.65,5.28
278,karratha,97,AU,1603221497,74,-20.74,116.85,67.05,11.43
279,paamiut,100,GL,1603221497,86,61.99,-49.67,36.75,14.12
280,portland,75,US,1603221130,67,45.52,-122.68,61.0,8.05
281,amapa,99,BR,1603221497,36,1.0,-52.0,93.58,4.07
282,ancud,0,CL,1603221497,52,-41.87,-73.82,53.6,10.29
283,half moon bay,75,LR,1603221497,83,6.38,-10.7,80.6,5.06
284,petropavlovskoye,94,RU,1603221498,60,52.07,84.11,41.88,4.34
285,urozhaynoye,94,RU,1603221498,58,44.79,44.92,55.51,5.84
286,isangel,75,VU,1603221498,88,-19.55,169.27,71.6,10.27
287,soyo,50,AO,1603221498,79,-6.13,12.37,77.58,6.71
288,bar harbor,2,UA,1603221498,72,49.08,27.68,42.96,5.28
289,bathsheba,75,BB,1603221455,66,13.22,-59.52,87.8,13.87
290,san patricio,0,ML,1603221302,24,13.3,-4.9,89.28,3.04
291,gornopravdinsk,100,RU,1603221498,98,60.05,69.9,34.59,2.8
292,praia,100,CV,1603221498,62,14.92,-23.51,87.8,13.87
293,benalla,100,AU,1603221499,100,-36.55,145.98,53.01,2.8
294,labuan,20,MY,1603221499,94,5.28,115.24,77.0,8.3
295,solnechnyy,99,RU,1603221499,84,50.72,136.63,34.59,6.89
296,wanaka,55,NZ,1603221499,82,-44.7,169.15,41.0,3.87
297,zhigansk,100,RU,1603221414,96,66.77,123.37,14.4,7.54
298,torbay,75,CA,1603221499,67,47.67,-52.73,61.0,13.87
299,rundu,0,NA,1603221499,16,-17.93,19.77,79.97,4.9
300,ambulu,5,ID,1603221499,86,-8.35,113.61,76.19,3.91
301,bayan,100,CN,1603221499,53,46.08,127.4,57.0,13.11
302,tankhoy,100,RU,1603221499,76,51.55,105.13,30.31,2.51
303,igrim,10,RU,1603221499,98,63.19,64.42,28.27,5.03
304,northam,100,GB,1603221414,93,51.03,-4.22,57.99,5.99
305,birin,0,NP,1603221499,92,26.89,88.07,58.24,4.09
306,goundam,0,ML,1603221500,11,16.41,-3.67,94.53,8.99
307,chapais,90,CA,1603221500,60,49.78,-74.85,39.2,6.93
308,kavieng,100,PG,1603221500,80,-2.57,150.8,81.14,11.95
309,along,14,IN,1603221500,86,28.17,94.77,64.65,1.88
310,rosetta,0,EG,1603221500,69,31.4,30.42,78.8,9.17
311,mogocha,100,RU,1603221500,92,53.73,119.77,27.99,8.84
312,pacific grove,100,US,1603221356,94,38.48,-90.74,52.0,4.0
313,alyangula,0,AU,1603221500,94,-13.85,136.42,77.0,2.24
314,roma,90,US,1603221485,87,43.21,-75.46,51.8,8.05
315,tela,75,HN,1603221500,75,15.78,-87.45,89.6,4.7
316,bajo baudo,89,ID,1603221500,71,-3.38,120.31,76.55,3.74
317,sabang,100,ID,1603221500,77,5.89,95.32,82.54,14.9
318,magadan,27,RU,1603221500,84,59.57,150.8,28.4,3.62
319,kailua,40,US,1603221501,69,21.4,-157.74,82.4,6.93
320,chebsara,20,RU,1603221501,92,59.2,38.84,30.2,4.47
321,puerto del rosario,75,ES,1603221501,88,36.59,-6.23,68.0,19.46
322,tura,0,IN,1603221501,91,25.52,90.22,72.59,3.38
323,bamiantong,100,CN,1603221501,59,44.93,130.53,45.72,5.82
324,albion,1,US,1603221501,54,42.24,-84.75,55.0,8.05
325,tazovskiy,100,RU,1603221501,98,67.47,78.7,21.06,12.28
326,barretos,21,BR,1603221501,72,-20.56,-48.57,77.95,7.92
327,awbari,56,LY,1603221501,40,26.59,12.78,73.99,9.55
328,taiping,40,MY,1603221501,88,4.85,100.73,78.8,4.7
329,pevek,100,RU,1603221502,95,69.7,170.31,30.76,19.86
330,puksoozero,91,RU,1603221502,98,62.59,40.61,27.63,7.56
331,karasjok,75,NO,1603221502,95,69.47,25.51,32.0,5.82
332,robertsport,100,LR,1603221502,82,6.75,-11.37,78.78,7.49
333,leh,0,IN,1603221502,49,34.17,77.58,37.17,1.7
334,port augusta,100,CD,1603221472,61,-7.03,29.76,78.4,7.54
335,yeppoon,90,AU,1603221502,73,-23.13,150.73,73.4,5.82
336,haines junction,90,US,1603221502,69,59.23,-135.44,37.4,12.75
337,calabozo,100,VE,1603221502,82,8.92,-67.43,84.4,3.27
338,yashalta,0,RU,1603221502,58,46.34,42.28,49.35,7.72
339,lavrentiya,100,RU,1603221502,91,65.58,-171.0,36.86,13.22
340,hasaki,20,JP,1603221452,93,35.73,140.83,54.0,6.93
341,olenino,90,RU,1603221506,98,56.21,33.49,31.77,6.98
342,glenwood springs,1,US,1603221508,58,41.54,-87.6,55.0,6.93
343,ketchikan,75,US,1603221508,87,55.34,-131.65,44.6,5.82
344,gravdal,40,NO,1603221509,80,68.12,13.5,35.6,5.82
345,marica,20,BR,1603221512,69,-22.92,-42.82,86.0,12.75
346,washington,84,US,1603221245,48,47.5,-120.5,55.0,3.0
